#t_s,value
0.000000,2.797728
0.001000,2.856334
0.002000,2.908865
0.003000,2.955036
0.004000,2.994589
0.005000,3.027292
0.006000,3.052946
0.007000,3.071378
0.008000,3.082449
0.009000,3.086053
0.010000,3.082116
0.011000,3.070601
0.012000,3.051502
0.013000,3.024847
0.014000,2.990702
0.015000,2.949162
0.016000,2.900360
0.017000,2.844460
0.018000,2.781656
0.019000,2.712177
0.020000,2.636280
0.021000,2.554248
0.022000,2.466395
0.023000,2.373058
0.024000,2.274599
0.025000,2.171397
0.026000,2.063857
0.027000,1.952395
0.028000,1.837449
0.029000,1.719461
0.030000,1.598890
0.031000,1.476199
0.032000,1.351861
0.033000,1.226344
0.034000,1.100124
0.035000,0.973672
0.036000,0.847453
0.037000,0.721924
0.038000,0.597538
0.039000,0.474733
0.040000,0.353930
0.041000,0.235541
0.042000,0.119956
0.043000,0.007544
0.044000,-0.101345
0.045000,-0.206384
0.046000,-0.307270
0.047000,-0.403729
0.048000,-0.495510
0.049000,-0.582391
0.050000,-0.664179
0.051000,-0.740710
0.052000,-0.811847
0.053000,-0.877488
0.054000,-0.937556
0.055000,-0.992003
0.056000,-1.040813
0.057000,-1.083999
0.058000,-1.121600
0.059000,-1.153682
0.060000,-1.180340
0.061000,-1.201692
0.062000,-1.217879
0.063000,-1.229069
0.064000,-1.235447
0.065000,-1.237217
0.066000,-1.234605
0.067000,-1.227850
0.068000,-1.217206
0.069000,-1.202939
0.070000,-1.185327
0.071000,-1.164656
0.072000,-1.141217
0.073000,-1.115308
0.074000,-1.087227
0.075000,-1.057276
0.076000,-1.025756
0.077000,-0.992961
0.078000,-0.959184
0.079000,-0.924712
0.080000,-0.889820
0.081000,-0.854779
0.082000,-0.819845
0.083000,-0.785262
0.084000,-0.751262
0.085000,-0.718063
0.086000,-0.685865
0.087000,-0.654854
0.088000,-0.625197
0.089000,-0.597044
0.090000,-0.570528
0.091000,-0.545761
0.092000,-0.522840
0.093000,-0.501839
0.094000,-0.482817
0.095000,-0.465814
0.096000,-0.450850
0.097000,-0.437929
0.098000,-0.427038
0.099000,-0.418148
0.100000,-0.411215
0.101000,-0.406177
0.102000,-0.402963
0.103000,-0.401485
0.104000,-0.401649
0.105000,-0.403344
0.106000,-0.406454
0.107000,-0.410854
0.108000,-0.416412
0.109000,-0.422992
0.110000,-0.430451
0.111000,-0.438647
0.112000,-0.447431
0.113000,-0.456659
0.114000,-0.466186
0.115000,-0.475868
0.116000,-0.485565
0.117000,-0.495140
0.118000,-0.504462
0.119000,-0.513409
0.120000,-0.521862
0.121000,-0.529711
0.122000,-0.536856
0.123000,-0.543204
0.124000,-0.548674
0.125000,-0.553194
0.126000,-0.556702
0.127000,-0.559147
0.128000,-0.560490
0.129000,-0.560703
0.130000,-0.559768
0.131000,-0.557679
0.132000,-0.554437
0.133000,-0.550060
0.134000,-0.544571
0.135000,-0.538004
0.136000,-0.530402
0.137000,-0.521817
0.138000,-0.512309
0.139000,-0.501944
0.140000,-0.490797
0.141000,-0.478944
0.142000,-0.466473
0.143000,-0.453470
0.144000,-0.440026
0.145000,-0.426236
0.146000,-0.412196
0.147000,-0.398002
0.148000,-0.383748
0.149000,-0.369532
0.150000,-0.355445
0.151000,-0.341580
0.152000,-0.328023
0.153000,-0.314859
0.154000,-0.302167
0.155000,-0.290020
0.156000,-0.278486
0.157000,-0.267628
0.158000,-0.257501
0.159000,-0.248153
0.160000,-0.239624
0.161000,-0.231948
0.162000,-0.225151
0.163000,-0.219251
0.164000,-0.214258
0.165000,-0.210173
0.166000,-0.206990
0.167000,-0.204696
0.168000,-0.203273
0.169000,-0.202689
0.170000,-0.202914
0.171000,-0.203904
0.172000,-0.205613
0.173000,-0.207991
0.174000,-0.210979
0.175000,-0.214516
0.176000,-0.218537
0.177000,-0.222974
0.178000,-0.227757
0.179000,-0.232810
0.180000,-0.238062
0.181000,-0.243437
0.182000,-0.248860
0.183000,-0.254258
0.184000,-0.259556
0.185000,-0.264685
0.186000,-0.269575
0.187000,-0.274159
0.188000,-0.278377
0.189000,-0.282168
0.190000,-0.285481
0.191000,-0.288263
0.192000,-0.290474
0.193000,-0.292071
0.194000,-0.293023
0.195000,-0.293303
0.196000,-0.292888
0.197000,-0.291765
0.198000,-0.289923
0.199000,-0.287362
0.200000,-0.284084
0.201000,-0.280098
0.202000,-0.275420
